date,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,00:00
2018-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1559.0,2607.0,2607.0,2643.0,2657.0,2657.0,2657.0,2657.0,2657.0,2657.0,2657.0,2657.0,2757.0,3950.0,5711.0,5788.0,5788.0,5816.0,5830.0,6247.0,7254.0,7254.0,7254.0,7254.0,7254.0,7254.0,7254.0,7254.0,7254.0,7254.0,7254.0,7254.0,7254.0,7959.0,9201.0,10228.0,11351.0,11615.0,11633.0,11688.0,11688.0,11741.0,11753.0,11784.0,11784.0,11848.0,11857.0,11857.0,11885.0,11957.0,11992.0,12032.0,12032.0,12032.0,12032.0,12032.0,12193.0,12436.0,12436.0,12436.0,12436.0,12436.0,12581.0
2018-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,96.0,1179.0,1179.0,1179.0,1179.0,1179.0,1179.0,1179.0,1179.0,1179.0,1179.0,1179.0,1232.0,2831.0,4247.0,4247.0,4247.0,4247.0,4255.0,4646.0,5719.0,5719.0,5719.0,5719.0,5719.0,5719.0,5719.0,5719.0,5719.0,5719.0,5719.0,5719.0,5870.0,6726.0,7154.0,7203.0,7203.0,7226.0,7258.0,7268.0,7280.0,7280.0,7291.0,7479.0,7532.0,7532.0,7663.0,7684.0,7763.0,7763.0,7794.0,8221.0,8606.0,8606.0,8606.0,8606.0,8606.0,8606.0,8606.0,8606.0,8606.0,8606.0,8606.0
2018-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,602.0,1442.0,1442.0,1442.0,1442.0,1442.0,1514.0,1514.0,1514.0,1514.0,1514.0,1514.0,1514.0,3124.0,4526.0,4555.0,4563.0,4563.0,4563.0,4563.0,5250.0,6369.0,6523.0,6635.0,7156.0,7225.0,7225.0,7225.0,7225.0,7225.0,7225.0,7225.0,7225.0,8332.0,8679.0,9539.0,10223.0,10223.0,10223.0,10223.0,10223.0,10223.0,10252.0,10268.0,10268.0,10268.0,10268.0,10268.0,10268.0,10373.0,10454.0,10454.0,10454.0,10454.0,10558.0,11756.0,12427.0,12427.0,12427.0,12427.0,12427.0,12427.0,16776.0
2018-04-13,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,776.0,1937.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,2028.0,2263.0,2297.0,2307.0,3728.0,5367.0,5367.0,5375.0,5375.0,5375.0,5383.0,5490.0,6650.0,6650.0,6650.0,6726.0,6726.0,6726.0,6774.0,6823.0,6893.0,6893.0,6893.0,6930.0,7329.0,7767.0,8373.0,9272.0,9602.0,9602.0,9631.0,9664.0,9664.0,9694.0,9834.0,9837.0,9919.0,10458.0,10936.0,11644.0,12222.0,12222.0,12222.0,12222.0,12877.0,14202.0,14656.0,15347.0,15347.0,15347.0,15347.0,15347.0,15347.0,20509.0
2018-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,38.0,38.0,38.0,38.0,38.0,74.0,74.0,74.0,74.0,157.0,157.0,180.0,1055.0,1911.0,2601.0,2601.0,2601.0,2601.0,2617.0,2617.0,2617.0,2617.0,2617.0,2617.0,2617.0,2617.0,2617.0,2617.0,2617.0,2617.0,2617.0,2625.0,2635.0,2685.0,2685.0,2685.0,2685.0,2685.0,2685.0,2709.0,2709.0,2709.0,2709.0,2709.0,2709.0,2719.0,2719.0,2719.0,2719.0,2719.0,2719.0,2719.0,2719.0,2719.0,2719.0,2719.0,2719.0
2018-04-17,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,612.0,1044.0,1044.0,1044.0,1044.0,1044.0,1044.0,1087.0,1121.0,1121.0,1121.0,1121.0,1169.0,2286.0,2286.0,2294.0,2294.0,2299.0,2299.0,2299.0,2299.0,2364.0,2938.0,2938.0,2938.0,2938.0,2938.0,3011.0,3011.0,3011.0,3011.0,3011.0,3011.0,3442.0,3957.0,5014.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0,5095.0
2018-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,1213.0,1213.0,1213.0,1213.0,1213.0,1213.0,1213.0,1213.0,1213.0,1213.0,1213.0,1213.0,1289.0,2261.0,2626.0,2626.0,2626.0,2626.0,2626.0,2626.0,2626.0,2886.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3975.0,3975.0,4070.0,4492.0,5392.0,5392.0,5392.0,5392.0,5392.0,5392.0,5433.0,5445.0,5470.0,5481.0,5481.0,5481.0,5481.0,5481.0,5481.0,5481.0,5481.0,5481.0,5481.0,5481.0,5481.0,5481.0,5481.0,5481.0,5481.0,5481.0,5481.0,5481.0
2018-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,557.0,757.0,1028.0,1039.0,1039.0,1039.0,1054.0,1054.0,1054.0,1065.0,1065.0,1156.0,2306.0,2306.0,2306.0,2306.0,2306.0,2306.0,2306.0,2454.0,2454.0,2454.0,2454.0,2454.0,2454.0,2454.0,2454.0,2454.0,2454.0,2454.0,2484.0,2522.0,3320.0,3427.0,4393.0,4903.0,4903.0,4938.0,4943.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0,4951.0
2018-04-21,0.0,16.0,16.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,44.0,44.0,44.0,44.0,44.0,48.0,62.0,106.0,106.0,376.0,376.0,376.0,376.0,376.0,376.0,376.0,376.0,376.0,376.0,376.0,463.0,547.0,575.0,1538.0,2429.0,2969.0,2969.0,2969.0,2969.0,2969.0,2969.0,2969.0,2969.0,2969.0,2969.0,2969.0,2969.0,2969.0,2978.0,2978.0,2978.0,2978.0,2978.0,2978.0,2978.0,2978.0,2978.0,2978.0,2978.0,2978.0
2018-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.0,1961.0,2775.0,3267.0,3809.0,4678.0,4819.0,5298.0,5330.0,5330.0,5330.0,5330.0,5340.0,5340.0,5340.0,5340.0,5340.0,5379.0,5387.0,5406.0,5406.0,5406.0,5406.0,5406.0,5406.0,5406.0,5406.0,5406.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0
